rank,category,name,price,location,rating,sold,url,image
68,laptop,Asus M415DAO VIPS352 Ryzen 3 3250 8GB 512ssd Vega3 W10+OHS 14.0FHD IPS,5555000.0,Jakarta Utara,4.9,100.0,https://www.tokopedia.com/rogsstoreid/asus-m415dao-vips352-ryzen-3-3250-8gb-512ssd-vega3-w10-ohs-14-0fhd-ips-4gb-256ssd-grey,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/17/3160d62d-f71c-44bb-a674-8223d023a853.jpg
67,laptop,"ASUS Vivobook 14 A1400EA i3-1115G4 512GB 14"" FHD Intel® UHD W11 OHS",6949000.0,Jakarta Pusat,4.9,100.0,https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1400ea-i3-1115g4-512gb-14-fhd-intel-uhd-w11-ohs-ram-8gb,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/20/e1ebc169-756f-4532-b2c2-a22bdf8b31b8.jpg
46,laptop,"MSI Modern 14 C11M i3-1115G4 UHD Graphics 14"" FHD IPS-Level Thin Bezel",5899000.0,Jakarta Pusat,4.9,500.0,https://www.tokopedia.com/msi-official/msi-modern-14-c11m-i3-1115g4-uhd-graphics-14-fhd-ips-level-thin-bezel-ssd-256gb-black,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/25/50d78b7b-e06a-4004-9013-01dcc77c24c4.jpg
17,laptop,"Laptop Lenovo Thinkpad X270 Core i5 - RAM 8GB - SSD 256GB - Win 10 Pro - X230-i5 Gen 3, 4GB - HDD 320GB",1850000.0,Jakarta Pusat,4.9,100.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/9/e14d8b6d-188d-4469-82ae-c2032acc2c9a.jpg
70,laptop,"LAPTOP LENOVO V14 G3 CORE I3 1215U 12GB 512GB SSD 14"" INTEL UHD",5649000.0,Jakarta Utara,4.9,70.0,https://www.tokopedia.com/rogsstoreid/laptop-lenovo-v14-g3-core-i3-1215u-12gb-512gb-ssd-14-intel-uhd-4gb-256-ssd-standard,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/10/6aa72c25-cfae-4f7a-b1b4-33bbae80c8c4.jpg
3,laptop,Laptop baru 12GB+512GB 12inch Core-i5 Mulus/Bergaransi/Win10 pc,1858000.0,Jakarta Barat,5.0,30.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/3/11e9b631-2956-4019-9ad6-cd2f787d4097.jpg
64,laptop,"ACER Nitro 5 AN515-58 i5-12500H 8/16G 512G RTX3050 15.6"" 144Hz W11 OHS",13219000.0,Jakarta Pusat,4.9,250.0,https://www.tokopedia.com/collinsofficial/acer-nitro-5-an515-58-i5-12500h-8-16g-512g-rtx3050-15-6-144hz-w11-ohs-ram-16gb-srgb-100,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/31/a7a2fac6-1955-4437-9bc9-bf19948f8bda.jpg
49,laptop,ASUS VIVOBOOK PRO 14X OLED M3400QA | RYZEN 7 5800H 16GB 512SSD W11+OHS,9999000.0,Jakarta Utara,4.9,500.0,https://www.tokopedia.com/amd-id/asus-vivobook-pro-14x-oled-m3400qa-ryzen-7-5800h-16gb-512ssd-w11-ohs-solar-silver,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/15/39abf767-38f6-45e1-a2d4-2ee6993c19da.png
76,laptop,"ASUS Vivobook 14 A1405ZA i3-1215U 8G 512G Intel UHD 14"" 16:10 W11 OHS",8136000.0,Jakarta Pusat,5.0,100.0,https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1405za-i3-1215u-8g-512g-intel-uhd-14-16-10-w11-ohs,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/14/6112acf3-b8bf-43e5-9cf8-71219f2e2b7f.jpg
41,laptop,"Laptop HP 14S Dq3111tu N4500 8GB 512GB SSD W11 OHS 14"" - Dq3109tu",4539000.0,Jakarta Utara,5.0,80.0,https://www.tokopedia.com/royalltech/laptop-hp-14s-dq3111tu-n4500-8gb-512gb-ssd-w11-ohs-14-dq3109tu-laptop-256-ssd-2ddc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/9/e84868b1-c320-4c74-b9fa-fc0fac3f675e.png
10,laptop,"ASUS Vivobook Pro 14X OLED M3400QA Ryzen 7-5800H 512G 14"" 2.8K W11 OHS",10099000.0,Jakarta Pusat,5.0,500.0,https://www.tokopedia.com/collinsofficial/asus-vivobook-pro-14x-oled-m3400qa-ryzen-7-5800h-512g-14-2-8k-w11-ohs-ram-16gb,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/14/dcc81f7a-2e55-4e9b-8eb9-3183ef692153.jpg
11,laptop,HP Chromebook 11 G8 | N4020 4GB 32GB 11.6HD,1899000.0,Jakarta Utara,4.9,1000.0,https://www.tokopedia.com/gameridos/hp-chromebook-11-g8-n4020-4gb-32gb-11-6hd-32gb-normal,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/22/9655279a-23e5-44d8-931b-e5ab52f22aed.png
48,laptop,"Samsung Chromebook 4 Laptop 11""6 HD 32GB 4GB Garansi SEIN Laptop Murah",1999000.0,Jakarta Pusat,4.9,2000.0,https://www.tokopedia.com/agusidstoreapple/samsung-chromebook-4-laptop-11-6-hd-32gb-4gb-garansi-sein-laptop-murah-non-bundling,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/22/9246dbc7-4d13-4374-83f3-b099db01313d.png
53,laptop,Acer Nitro 5 AN515-58 GeForce RTX® 3050 - 144Hz intel i5 12500H 8/16GB,12814999.0,Jakarta Utara,5.0,250.0,https://www.tokopedia.com/nvidiageforcelt/acer-nitro-5-an515-58-geforce-rtx-3050-144hz-intel-i5-12500h-8-16gb-8gb-100srgb-tanpa-antigores,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/1/3431b677-9942-4c55-8b39-00325ef4be5b.png
1,laptop,,,,4.9,250.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/25/25d6abc3-47fa-481b-a0b7-7ea4c5f34b8c.png
54,laptop,"LAPTOP XIAOMI Redmi Book 15 - Core i3-1115G4 8GB 256GB 15.6"" FHD W10",5029000.0,Jakarta Pusat,4.9,100.0,https://www.tokopedia.com/collinsofficial/laptop-xiaomi-redmi-book-15-core-i3-1115g4-8gb-256gb-15-6-fhd-w10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/4/12cdbb1a-30dd-46e1-bdad-700ba147b239.jpg
59,laptop,"MSI Modern 14 C11M i5-1155G7 8GB 512GB iRiS Xe GRAPHICS 14"" FHD W11",7699000.0,Jakarta Pusat,4.9,250.0,https://www.tokopedia.com/msi-official/msi-modern-14-c11m-i5-1155g7-8gb-512gb-iris-xe-graphics-14-fhd-w11-hitam,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/25/8119eef6-a0d7-44fa-89be-ab0b4f623475.jpg
23,laptop,"LAPTOP INFINIX INBOOK X2 - I3-1115G4 8G 256GB 14""FHD IPS sRGB 100% W11",5849000.0,Jakarta Pusat,5.0,80.0,https://www.tokopedia.com/collinsofficial/laptop-infinix-inbook-x2-i3-1115g4-8g-256gb-14-fhd-ips-srgb-100-w11,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/7/9e7ddaf8-bb8e-4f17-b6e8-a1b59f8287ff.jpg
14,laptop,"ASUS VIVOBOOK A416MA DUALCORE N4020 4GB 256GB SSD INTEL HD 14"" OHS W10",4399000.0,Jakarta Pusat,5.0,500.0,https://www.tokopedia.com/protechcom/asus-vivobook-a416ma-dualcore-n4020-4gb-256gb-ssd-intel-hd-14-ohs-w10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/12/dfa2a745-945c-4b58-b773-0053079af3e1.jpg
37,laptop,ASUS VivoBook M415DAO-FHD351 - Slate Grey,6399000.0,Dilayani Tokopedia,4.9,250.0,https://www.tokopedia.com/asus/asus-vivobook-m415dao-fhd351-slate-grey,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/2/549f12f2-b7d4-4b6f-a853-f1ed7bb25ee3.jpg
32,laptop,"SALE !! LAPTOP / NOTEBOOK ASUS E203 / RAM 2GB - 500GB / 12"" Inch - Merah Muda, X200 2/500GB",1500000.0,Jakarta Barat,4.7,100.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/30/d9b1d4f6-396b-479d-874a-f0d6c38fe273.jpg
72,laptop,"ADVAN Soulmate Laptop 14"" Intel N4020 4GB 128GB 256GB Garansi Resmi",2249000.0,Jakarta Barat,4.8,100.0,https://www.tokopedia.com/advan-official/advan-soulmate-laptop-14-intel-n4020-4gb-128gb-256gb-garansi-resmi-hitam-4-128gb-windows-11,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/12/d4cdee3a-632a-43d4-ad87-b80b69be4fce.jpg
24,laptop,Apple Macbook Air 13inch M1 2021 - Garansi Resmi,11950000.0,Jakarta Barat,5.0,250.0,https://www.tokopedia.com/ptpratamasemesta/apple-macbook-air-13inch-m1-2021-garansi-resmi-promo-m1-256gb-grey,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/9/a3e12be5-43f7-4739-b312-9c45a9fb4398.jpg
33,laptop,Laptop Lenovo Mix 520 2in1 Tablet Ram 16GB SSD 256GB Termurah Original,2999999.0,Bandung,5.0,6.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/6/4b69f4fd-30ac-4664-9f2d-53dc5acd090e.jpg
78,laptop,ADVAN Laptop Notebook Soulmate 14 inch RAM 4/256GB - DOS BLUE,2699000.0,Jakarta Utara,4.9,100.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/27/fd3c41cc-f4d5-45de-bc35-0475e30dab5a.jpg
81,laptop,LAPTOP SECOND GAMING DELL LATITUDE 5470 I7 8GB/256GB SSD VGA 2GB MULUS,3999999.0,Bandung,4.9,20.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/2/1eecd869-5951-4d70-a087-ea5cd8ed70ff.jpg
80,laptop,LAPTOP GAMING I5 NVIDIA 2GB - RAM 8GB - HDD 1TB - MOUSE - TAS,3000000.0,Bekasi,4.5,4.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/5/77fba952-c184-4a39-9fcb-71fd9d719cc8.jpg
30,laptop,"LAPTOP INFINIX X2 - I3-1115G4 8GB 256GB sRGB 100% 14"" FHD IPS W11",5849000.0,Jakarta Pusat,4.9,50.0,https://www.tokopedia.com/protechcom/laptop-infinix-x2-i3-1115g4-8gb-256gb-srgb-100-14-fhd-ips-w11,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/8/2541921b-38a6-4e83-b964-d96e5fb39900.jpg
56,laptop,"Asus TUF FX506HC - RTX3050 i5 11400 8GB 512ssd 15.6""FHD IPS 144Hz OHS",11669000.0,Jakarta Utara,5.0,500.0,https://www.tokopedia.com/intelgamingid/asus-tuf-fx506hc-rtx3050-i5-11400-8gb-512ssd-15-6-fhd-ips-144hz-ohs-non-bundle-8gb,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/9/51861b2b-60bb-4edb-8df0-e504dd00540c.png
12,laptop,"MSI GF63 Thin 11UC i7-11800H RTX3050 15.6"" FHD IPS-Level 144Hz",11799000.0,Jakarta Pusat,4.9,250.0,https://www.tokopedia.com/msi-official/msi-gf63-thin-11uc-i7-11800h-rtx3050-15-6-fhd-ips-level-144hz,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/22/edef1f7c-08bc-4fa3-9a93-563efcf5fcde.jpg
